1648715582.107412 -0.044480 0.022950 -0.004002
1648715582.810610 -0.008783 0.011246 -0.018000
1648715583.310208 -0.017754 0.011399 -0.007001
1648715583.906180 -0.008594 0.022340 -0.002001
1648715584.113448 -0.008594 0.022340 -0.023001
1648715585.212162 -0.025971 0.055925 -0.038002
1648715585.411503 -0.008028 0.055620 -0.034001
1648715585.911184 -0.016811 0.066866 -0.037001
1648715586.213177 -0.016434 0.089053 -0.068002
1648715586.609902 0.019829 0.110630 -0.066000
1648715586.811403 0.065252 0.143148 -0.060999
1648715588.109167 0.033138 0.365628 -0.005003
1648715590.610106 -0.102860 0.811809 0.055987
1648715591.018245 -0.129209 0.845548 0.052986
1648715593.307050 -0.294007 1.181251 0.058976
1648715593.710061 -0.328949 1.237329 0.067975
1648715594.111055 -0.345949 1.293101 0.095973
1648715594.507046 -0.363326 1.326687 0.094972
1648715594.706743 -0.380326 1.382459 0.095971
1648715595.111046 -0.352469 1.437469 0.108972
1648715595.910182 -0.386280 1.560108 0.150969
1648715596.207408 -0.403468 1.604787 0.156968
1648715596.411019 -0.394119 1.626822 0.172968
1648715597.311017 -0.445685 1.760859 0.142965
1648715599.609144 -0.619831 2.074528 0.227955
1648715600.208981 -0.636454 2.152488 0.218954
1648715600.409223 -0.635888 2.185768 0.215953
1648715603.708916 -0.718058 2.631034 0.083945
1648715605.810895 -0.676892 2.941043 -0.028057
1648715605.910889 -0.676892 2.941043 0.005943
1648715606.111989 -0.739880 2.931017 -0.044059
1648715608.018853 -0.717411 3.196956 -0.054061
1648715608.910846 -0.723930 3.341324 -0.082063
1648715609.109863 -0.732713 3.352570 -0.086063
1648715609.410866 -0.714016 3.396639 -0.096063
1648715609.911242 -0.757930 3.452869 -0.083065
1648715610.514823 -0.783335 3.542075 -0.088067
1648715611.115596 -0.817523 3.642527 -0.100069
1648715612.114903 -0.814883 3.797836 -0.141071
1648715612.214860 -0.814883 3.797836 -0.130071
1648715613.314781 -0.785328 3.952688 -0.168071
1648715615.114966 -0.781367 4.185652 -0.190074
1648715615.713734 -0.761916 4.274095 -0.210074
1648715616.310842 -0.751247 4.373784 -0.218075
1648715617.314250 -0.815178 4.308290 -0.268076
1648715617.913718 -0.743596 4.295977 -0.250074
1648715618.811767 -0.797801 4.274705 -0.340075
1648715619.112718 -0.771264 4.252060 -0.337074
1648715619.213712 -0.780047 4.263306 -0.344075
1648715619.414789 -0.789019 4.263459 -0.351075
1648715620.811700 -0.779104 4.318774 -0.427075
1648715621.023267 -0.796858 4.330172 -0.446076
1648715621.115723 -0.805641 4.341418 -0.433076
1648715623.213675 -0.765606 4.584866 -0.531078
1648715623.612675 -0.782606 4.640638 -0.556079
1648715626.415416 -0.822371 4.940926 -0.527084
1648715628.214781 -0.836353 5.174195 -0.487087
1648715629.016229 -0.861758 5.263400 -0.446088
1648715629.612645 -0.878569 5.330267 -0.361090
1648715630.512608 -0.867712 5.441049 -0.350091
1648715631.311560 -0.866015 5.540891 -0.323092
1648715631.511027 -0.875175 5.529950 -0.311092
1648715632.413528 -0.820026 5.606689 -0.284091
1648715634.710763 -0.852517 5.806983 -0.189094
1648715637.218451 -0.845054 5.718082 -0.219093
1648715637.910503 -0.942985 5.764134 -0.234097
1648715638.809486 -0.923156 5.874764 -0.221097
1648715638.908899 -0.931939 5.886010 -0.206098
1648715640.513434 -0.893036 6.062896 -0.170098
1648715640.712436 -0.874150 6.118059 -0.157098
1648715641.812499 -0.853944 6.250876 -0.144099
1648715642.811420 -0.825521 6.339166 -0.120099
1648715642.911420 -0.816361 6.350107 -0.112099
1648715644.014422 -0.742893 6.448729 -0.132097
